edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources,source_coverage_pct
EDGE,unconstrained,risk,3,75,81,81,100.0
EDGE,unconstrained,risk,14,62,66,66,100.0
EDGE,unconstrained,risk,1,106,123,123,100.0
EDGE,unconstrained,risk,10,85,87,87,100.0
EDGE,unconstrained,risk,22,71,71,71,100.0
EDGE,unconstrained,risk,26,83,86,86,100.0
EDGE,unconstrained,risk,2,75,81,81,100.0
EDGE,unconstrained,risk,9,36,43,43,100.0
EDGE,unconstrained,risk,6,202,220,220,100.0
EDGE,unconstrained,risk,11,80,87,87,100.0
EDGE,unconstrained,risk,25,94,103,103,100.0
EDGE,unconstrained,risk,13,51,64,64,100.0
EDGE,unconstrained,risk,20,127,141,141,100.0
EDGE,unconstrained,risk,28,69,75,75,100.0
EDGE,unconstrained,risk,4,132,149,149,100.0
EDGE,unconstrained,risk,19,67,69,69,100.0
EDGE,unconstrained,risk,21,30,32,32,100.0
EDGE,unconstrained,risk,17,26,26,26,100.0
EDGE,unconstrained,risk,0,139,165,165,100.0
EDGE,unconstrained,risk,37,18,20,20,100.0
EDGE,unconstrained,risk,24,70,79,79,100.0
EDGE,unconstrained,risk,12,35,38,38,100.0
EDGE,unconstrained,risk,36,90,95,95,100.0
EDGE,unconstrained,risk,5,37,40,40,100.0
EDGE,unconstrained,risk,23,53,55,55,100.0
EDGE,unconstrained,risk,32,8,11,11,100.0
EDGE,unconstrained,risk,7,48,51,51,100.0
EDGE,unconstrained,risk,35,46,51,51,100.0
EDGE,unconstrained,risk,18,45,48,48,100.0
EDGE,unconstrained,risk,30,52,54,54,100.0
EDGE,unconstrained,risk,34,8,10,10,100.0
EDGE,unconstrained,risk,15,24,25,25,100.0
EDGE,unconstrained,risk,38,24,26,26,100.0
EDGE,unconstrained,risk,29,129,144,144,100.0
EDGE,unconstrained,risk,8,19,20,20,100.0
EDGE,unconstrained,risk,39,44,46,46,100.0
EDGE,unconstrained,risk,33,27,27,27,100.0
EDGE,unconstrained,risk,16,18,18,18,100.0
EDGE,unconstrained,risk,27,5,5,5,100.0
EDGE,unconstrained,risk,31,7,7,7,100.0
EDGE,single_risk,risk,32,39,42,42,100.0
EDGE,single_risk,risk,10,45,49,49,100.0
EDGE,single_risk,risk,9,99,111,111,100.0
EDGE,single_risk,risk,2,195,206,206,100.0
EDGE,single_risk,risk,6,69,74,74,100.0
EDGE,single_risk,risk,7,58,60,60,100.0
EDGE,single_risk,risk,1,99,101,101,100.0
EDGE,single_risk,risk,14,80,84,84,100.0
EDGE,single_risk,risk,29,27,31,31,100.0
EDGE,single_risk,risk,27,80,87,87,100.0
EDGE,single_risk,risk,15,86,92,92,100.0
EDGE,single_risk,risk,11,58,71,71,100.0
EDGE,single_risk,risk,20,131,145,145,100.0
EDGE,single_risk,risk,28,69,74,74,100.0
EDGE,single_risk,risk,0,177,200,200,100.0
EDGE,single_risk,risk,34,67,69,69,100.0
EDGE,single_risk,risk,26,96,111,111,100.0
EDGE,single_risk,risk,22,22,24,24,100.0
EDGE,single_risk,risk,18,59,65,65,100.0
EDGE,single_risk,risk,25,71,79,79,100.0
EDGE,single_risk,risk,31,26,27,27,100.0
EDGE,single_risk,risk,21,84,88,88,100.0
EDGE,single_risk,risk,4,33,33,33,100.0
EDGE,single_risk,risk,8,16,18,18,100.0
EDGE,single_risk,risk,30,53,54,54,100.0
EDGE,single_risk,risk,23,8,9,9,100.0
EDGE,single_risk,risk,3,97,99,99,100.0
EDGE,single_risk,risk,13,46,51,51,100.0
EDGE,single_risk,risk,39,6,6,6,100.0
EDGE,single_risk,risk,12,23,23,23,100.0
EDGE,single_risk,risk,16,45,48,48,100.0
EDGE,single_risk,risk,24,109,123,123,100.0
EDGE,single_risk,risk,33,19,21,21,100.0
EDGE,single_risk,risk,35,1,3,3,100.0
EDGE,single_risk,risk,17,52,61,61,100.0
EDGE,single_risk,risk,19,50,52,52,100.0
